FileSize,512m,1g,2g,4g,8g,512m_merkle,1g_merkle,2g_merkle,4g_merkle,8g_merkle
attempt_0,22383,26703,36807,59495,99864,4160,7829,15134,29501,58427
attempt_1,34004,26757,62253,56910,103989,4148,7832,15138,29600,59131
attempt_2,37468,26855,39693,58309,99907,4213,7885,15052,29645,58556
attempt_3,22252,26975,38093,57693,101325,4174,7923,15040,29800,58493
attempt_4,22266,27589,35637,57570,100584,4137,7884,15104,29588,58621
attempt_5,22318,27334,36634,58552,100550,4232,7921,15129,30525,58623
attempt_6,22563,27159,37096,59186,99808,4168,7872,15197,29624,58662
attempt_7,22269,27476,36698,58158,130871,4195,7863,15239,29733,58781
attempt_8,22189,26628,36855,57635,104755,4170,7861,15174,29779,58401
attempt_9,22356,51887,36895,87292,99614,4165,7930,15174,29629,58303
