FileSize,512m,1g,2g,4g,8g,512m_merkle,1g_merkle,2g_merkle,4g_merkle,8g_merkle
attempt_0,26504,34556,49320,114298,115323,4799,9202,17424,33924,67643
attempt_1,37937,29035,37839,62447,119459,4764,9370,17224,34493,67438
attempt_2,22987,48641,37696,62258,110345,4792,9068,17206,33740,67118
attempt_3,22972,28148,47322,75391,110920,4849,9035,17459,34042,67322
attempt_4,23077,28346,69667,64293,122781,4798,9247,17352,34131,67917
attempt_5,23029,36785,52859,62605,108591,4817,9072,17147,34058,68636
attempt_6,23072,28024,37928,65333,110051,4889,8951,17368,34081,67696
attempt_7,22962,28605,38721,75966,107858,4815,8948,17343,33956,68015
attempt_8,23254,28432,40712,62059,133328,4877,8983,17205,33845,67203
attempt_9,24038,27873,39292,70294,131308,5006,8955,17326,34438,67634
