FileSize,512m,1g,2g,4g,8g,512m_merkle,1g_merkle,2g_merkle,4g_merkle,8g_merkle
attempt_0,1835,2444,4184,19125,57242,0,0,0,0,0
attempt_1,1893,2569,4585,27714,54848,0,0,0,0,0
attempt_2,1693,2401,9476,27182,56060,0,0,0,0,0
attempt_3,1751,2451,8475,27920,57031,0,0,0,0,0
attempt_4,1693,2593,3919,23591,56885,0,0,0,0,0
attempt_5,1751,2434,4951,27447,57596,0,0,0,0,0
attempt_6,1734,2468,8611,28400,53380,0,0,0,0,0
attempt_7,1726,2376,7778,28415,54852,0,0,0,0,0
attempt_8,1769,2561,6301,22175,55510,0,0,0,0,0
attempt_9,1709,2501,4368,10573,58651,0,0,0,0,0
